matrix, M, N, nz, type, avgTime, avgGFlops, nThreads
mcfe, 765, 765, 24382, CSR, 0.012240, 3.983934, 21
mcfe, 765, 765, 24382, HLL, 0.020274, 2.405302, 21
mcfe, 765, 765, 24382, CSR, 0.011047, 4.414091, 22
mcfe, 765, 765, 24382, HLL, 0.019890, 2.451635, 22
mcfe, 765, 765, 24382, CSR, 0.009227, 5.284986, 23
mcfe, 765, 765, 24382, HLL, 0.017990, 2.710574, 23
mcfe, 765, 765, 24382, CSR, 0.012042, 4.049579, 24
mcfe, 765, 765, 24382, HLL, 0.020660, 2.360332, 24
mcfe, 765, 765, 24382, CSR, 0.009957, 4.897275, 25
mcfe, 765, 765, 24382, HLL, 0.018982, 2.568969, 25
mcfe, 765, 765, 24382, CSR, 0.012372, 3.941506, 26
mcfe, 765, 765, 24382, HLL, 0.020702, 2.355508, 26
mcfe, 765, 765, 24382, CSR, 0.013014, 3.746968, 27
mcfe, 765, 765, 24382, HLL, 0.022039, 2.212625, 27
mcfe, 765, 765, 24382, CSR, 0.010627, 4.588731, 28
mcfe, 765, 765, 24382, HLL, 0.019165, 2.544447, 28
mcfe, 765, 765, 24382, CSR, 0.011213, 4.348761, 29
mcfe, 765, 765, 24382, HLL, 0.019227, 2.536278, 29
mcfe, 765, 765, 24382, CSR, 0.013702, 3.558972, 30
mcfe, 765, 765, 24382, HLL, 0.021677, 2.249564, 30
mcfe, 765, 765, 24382, CSR, 0.013520, 3.606926, 31
mcfe, 765, 765, 24382, HLL, 0.022551, 2.162426, 31
mcfe, 765, 765, 24382, CSR, 0.012384, 3.937674, 32
mcfe, 765, 765, 24382, HLL, 0.023550, 2.070650, 32
mcfe, 765, 765, 24382, CSR, 0.013334, 3.657021, 33
mcfe, 765, 765, 24382, HLL, 0.022974, 2.122554, 33
mcfe, 765, 765, 24382, CSR, 0.013393, 3.641051, 34
mcfe, 765, 765, 24382, HLL, 0.023794, 2.049447, 34
mcfe, 765, 765, 24382, CSR, 0.011734, 4.155667, 35
mcfe, 765, 765, 24382, HLL, 0.020386, 2.392069, 35
mcfe, 765, 765, 24382, CSR, 0.013773, 3.540466, 36
mcfe, 765, 765, 24382, HLL, 0.023156, 2.105934, 36
mcfe, 765, 765, 24382, CSR, 0.011881, 4.104514, 37
mcfe, 765, 765, 24382, HLL, 0.023454, 2.079116, 37
mcfe, 765, 765, 24382, CSR, 0.013916, 3.504219, 38
mcfe, 765, 765, 24382, HLL, 0.024133, 2.020633, 38
mcfe, 765, 765, 24382, CSR, 0.015527, 3.140540, 39
mcfe, 765, 765, 24382, HLL, 0.024559, 1.985610, 39
mcfe, 765, 765, 24382, CSR, 0.013490, 3.614839, 40
mcfe, 765, 765, 24382, HLL, 0.026272, 1.856128, 40
olm1000, 1000, 1000, 3996, serial, 0.004082, 1.957971, 1
olm1000, 1000, 1000, 3996, CSR, 0.004421, 1.807798, 1
olm1000, 1000, 1000, 3996, HLL, 0.008161, 0.979256, 1
olm1000, 1000, 1000, 3996, CSR, 0.002953, 2.706686, 2
olm1000, 1000, 1000, 3996, HLL, 0.005533, 1.444525, 2
olm1000, 1000, 1000, 3996, CSR, 0.006138, 1.302127, 3
olm1000, 1000, 1000, 3996, HLL, 0.008807, 0.907447, 3
olm1000, 1000, 1000, 3996, CSR, 0.003792, 2.107571, 4
olm1000, 1000, 1000, 3996, HLL, 0.006495, 1.230512, 4
olm1000, 1000, 1000, 3996, CSR, 0.003655, 2.186581, 5
olm1000, 1000, 1000, 3996, HLL, 0.007242, 1.103603, 5
olm1000, 1000, 1000, 3996, CSR, 0.003966, 2.015346, 6
olm1000, 1000, 1000, 3996, HLL, 0.007317, 1.092205, 6
olm1000, 1000, 1000, 3996, CSR, 0.004325, 1.847705, 7
olm1000, 1000, 1000, 3996, HLL, 0.008112, 0.985209, 7
olm1000, 1000, 1000, 3996, CSR, 0.004131, 1.934794, 8
olm1000, 1000, 1000, 3996, HLL, 0.008632, 0.925906, 8
olm1000, 1000, 1000, 3996, CSR, 0.003972, 2.011862, 9
olm1000, 1000, 1000, 3996, HLL, 0.009032, 0.884862, 9
olm1000, 1000, 1000, 3996, CSR, 0.005594, 1.428783, 10
olm1000, 1000, 1000, 3996, HLL, 0.011427, 0.699375, 10
olm1000, 1000, 1000, 3996, CSR, 0.005941, 1.345186, 11
olm1000, 1000, 1000, 3996, HLL, 0.013272, 0.602170, 11
olm1000, 1000, 1000, 3996, CSR, 0.005927, 1.348335, 12
olm1000, 1000, 1000, 3996, HLL, 0.013131, 0.608639, 12
olm1000, 1000, 1000, 3996, CSR, 0.006481, 1.233116, 13
olm1000, 1000, 1000, 3996, HLL, 0.013636, 0.586108, 13
